# trackType=Official Forecast Track,baseTime=2023-10-23T03:00:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# DisturbanceId=2324-01F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CycloneName=Lola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# MathType of Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Time->(Latitude,Longitude,Symbol,Category,Pressure,PressureOCI,RadiusOCI,Radius1000hPa,RadiusMaxWinds,MeanWind,WindGust,VerticalExtent,Uncertainty,FinalT,CurrentIntensity,GaleRadius,StrongGaleRadius,StormRadius,HurricaneRadius,NEGaleRadius,SEGaleRadius,SWGaleRadius,NWGaleRadius,NEStrongGaleRadius,SEStrongGaleRadius,SWStrongGaleRadius,NWStrongGaleRadius,NEStormRadius,SEStormRadius,SWStormRadius,NWStormRadius,NEHurricaneRadius,SEHurricaneRadius,SWHurricaneRadius,NWHurricaneRadius,P5Wind,DataSource,Land/Water,CycloneStatus,HowLocation,DataTNoDvorak,ModelTNoDvorak,PatternTNoDvorak,UncPressure,HowPressure,P/W_Method,HowMaxWindRadius,HowGaleRadius,HowStormRadius,HowHurricaneRadius,UncMaxWindSpeed,HowMaxWindSpeed,HowGust,EyeRadius,UncEyeRadius,HowEyeRadius)),
# Column Headings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time[fmt=yyyy-MM-dd'T'HH:mm:ss'Z'],Latitude,Longitude,Symbol,Category,Pressure,PressureOCI,RadiusOCI,Radius1000hPa,RadiusMaxWinds,MeanWind,WindGust,VerticalExtent,Uncertainty,FinalT,CurrentIntensity,GaleRadius,StrongGaleRadius,StormRadius,HurricaneRadius,NEGaleRadius,SEGaleRadius,SWGaleRadius,NWGaleRadius,NEStrongGaleRadius,SEStrongGaleRadius,SWStrongGaleRadius,NWStrongGaleRadius,NEStormRadius,SEStormRadius,SWStormRadius,NWStormRadius,NEHurricaneRadius,SEHurricaneRadius,SWHurricaneRadius,NWHurricaneRadius,P5Wind,DataSource,Land/Water,CycloneStatus,HowLocation,DataTNoDvorak,ModelTNoDvorak,PatternTNoDvorak,UncPressure,HowPressure,P/W_Method,HowMaxWindRadius,HowGaleRadius,HowStormRadius,HowHurricaneRadius,UncMaxWindSpeed,HowMaxWindSpeed,HowGust,EyeRadius,UncEyeRadius,HowEyeRadius
# Start of data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-01T00:00:00Z,-9.31751,154.969,-3,3,1006,1006,180,100,NaN,80,110,3,15,5,5,NaN,NaN,NaN,NaN,140,150,120,100,NaN,NaN,NaN,NaN,70,70,60,60,40,40,30,30,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-04-01T03:00:00Z,-9.35,155.1,-3,3,1007,1006,NaN,NaN,NaN,85,120,NaN,30,NaN,NaN,NaN,NaN,NaN,NaN,140,150,120,100,NaN,NaN,NaN,NaN,70,70,60,60,40,40,30,30,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-04-01T06:00:00Z,-9.25373,155.256,-3,4,1005,1006,NaN,NaN,NaN,90,125,NaN,45,NaN,NaN,NaN,NaN,NaN,NaN,140,150,120,100,NaN,NaN,NaN,NaN,70,70,60,60,40,40,30,30,110,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-04-01T09:00:00Z,-9.15,155.45,-1,4,1004,1006,NaN,NaN,NaN,95,135,NaN,60,NaN,NaN,NaN,NaN,NaN,NaN,140,150,120,100,NaN,NaN,NaN,NaN,70,70,60,60,40,40,30,30,115,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-04-01T12:00:00Z,-9.17,155.689,-1,4,1004,1006,NaN,NaN,NaN,100,140,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,140,150,120,100,NaN,NaN,NaN,NaN,70,70,60,60,40,40,30,30,125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-04-01T15:00:00Z,-9.25,155.95,0,4,1004,1006,NaN,NaN,NaN,100,140,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,140,150,120,100,NaN,NaN,NaN,NaN,70,70,60,60,40,40,30,30,125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-04-01T18:00:00Z,-9.33122,156.196,0,4,1004,1006,NaN,NaN,NaN,95,135,NaN,108,NaN,NaN,NaN,NaN,NaN,NaN,140,150,120,100,NaN,NaN,NaN,NaN,70,70,60,60,40,40,30,30,120,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-04-01T21:00:00Z,-9.45,156.45,0,4,1004,1006,NaN,NaN,NaN,95,135,NaN,124,NaN,NaN,NaN,NaN,NaN,NaN,140,150,120,100,NaN,NaN,NaN,NaN,70,70,60,60,40,40,30,30,120,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-04-02T00:00:00Z,-9.63241,156.691,0,3,1002,1006,NaN,NaN,NaN,85,125,NaN,140,NaN,NaN,NaN,NaN,NaN,NaN,140,150,120,100,NaN,NaN,NaN,NaN,70,70,60,60,40,40,30,30,115,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-04-02T03:00:00Z,-9.8,157,0,3,1001,1006,NaN,NaN,NaN,80,110,NaN,164,NaN,NaN,NaN,NaN,NaN,NaN,140,150,120,100,NaN,NaN,NaN,NaN,70,70,60,60,40,40,30,30,110,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-04-02T06:00:00Z,-9.83482,157.404,0,3,1001,1006,NaN,NaN,NaN,75,105,NaN,188,NaN,NaN,NaN,NaN,NaN,NaN,140,150,120,100,NaN,NaN,NaN,NaN,70,70,60,60,40,40,30,30,105,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-04-02T09:00:00Z,-9.91111,157.944,0,3,1001,1006,NaN,NaN,NaN,70,100,NaN,211,NaN,NaN,NaN,NaN,NaN,NaN,140,150,120,100,NaN,NaN,NaN,NaN,70,70,60,60,40,40,30,30,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-04-02T12:00:00Z,-10.1365,158.678,0,3,1000,1006,NaN,NaN,NaN,65,90,NaN,235,NaN,NaN,NaN,NaN,NaN,NaN,140,150,120,100,NaN,NaN,NaN,NaN,70,70,60,60,40,40,30,30,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2020-04-02T15:00:00Z,-10.3818,159.545,0,3,1000,1006,NaN,NaN,NaN,66,91,NaN,236,NaN,NaN,NaN,NaN,NaN,NaN,141,151,121,101,NaN,NaN,NaN,NaN,71,71,61,61,41,41,31,31,96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
