lon,lat
185.85219872,-18.7146847795
185.8536095517,-18.709887952
185.8550203833,-18.7050911245
185.8564312149,-18.700294297
185.8587752204,-18.6959334051
185.8615487214,-18.6917731536
185.8643222223,-18.6876129021
185.8670957233,-18.6834526507
185.8703081701,-18.6797484183
185.8745711764,-18.677135608
185.8788341827,-18.6745227977
185.8830971889,-18.6719099874
185.8873601952,-18.6692971771
185.892195051,-18.6681886271
185.8971171889,-18.6673096739
185.9020393268,-18.6664307207
185.9061602977,-18.6642720515
185.9091011562,-18.6602283711
185.9120420147,-18.6561846906
185.9149828731,-18.6521410102
185.9179237316,-18.6480973298
185.9208028619,-18.6440103679
185.923602149,-18.6398674231
185.926401436,-18.6357244782
185.9292007231,-18.6315815334
185.9320000101,-18.6274385886
185.9347992972,-18.6232956437
185.9393427375,-18.6212101479
185.9438880616,-18.6191268744
185.9484333857,-18.6170436008
185.9532647736,-18.6158537463
185.9581748059,-18.6149095093
185.9630848381,-18.6139652723
185.9676983418,-18.6121995628
185.9720794213,-18.6097899691
185.9764605009,-18.6073803753
185.9798819659,-18.6038214034
185.9830349291,-18.5999408334
185.9861878922,-18.5960602634
185.9893408553,-18.5921796934
185.9924938184,-18.5882991234
185.9932471376,-18.5835665823
185.9932471376,-18.5785665823
185.9943523101,-18.5739986869
185.9977437106,-18.5703246697
186.0013032912,-18.5668645816
186.0056740776,-18.564436367
186.010044864,-18.5620081523
186.0147579453,-18.560487726
186.0196438271,-18.5594255777
186.0245297089,-18.5583634295
186.0293018128,-18.559412306
186.0340452293,-18.5609934448
186.0388028601,-18.5625232654
186.0436837954,-18.5636079177
186.0485647307,-18.56469257
186.053445666,-18.5657772223
186.0584100276,-18.5662389097
186.0634043683,-18.5664767354
186.0683545995,-18.5669506997
186.0730980159,-18.5685318385
186.0773042412,-18.5707870354
186.0799039759,-18.5750580282
186.0825037107,-18.5793290209
186.0851034454,-18.5836000137
186.0851759693,-18.5885796769
186.0851759693,-18.5935796769
186.0851759693,-18.5985796769
186.0857423839,-18.6034011304
186.0886096956,-18.60749729
186.092282656,-18.6108137827
186.096282656,-18.6138137827
186.100282656,-18.6168137827
186.1020854063,-18.6211147912
186.1027925131,-18.6260645387
186.1023830492,-18.6310404999
186.1019090037,-18.6360179772
186.1006788682,-18.6407557161
186.0981981735,-18.6450969318
186.0951735217,-18.6489885979
186.0913772387,-18.6522425547
186.0881111144,-18.6557833474
186.0874644184,-18.6607413495
186.0868177225,-18.6656993515
186.0861610917,-18.6706560283
186.0854855257,-18.6756101791
186.0848099597,-18.68056433
186.0841698786,-18.6855231179
186.083549705,-18.6904845073
186.0829295313,-18.6954458967
186.0823093576,-18.7004072861
186.0836667629,-18.7050494697
186.0858164308,-18.7095637723
186.0879660987,-18.7140780749
186.0879753748,-18.7190139258
186.0876980247,-18.7240062276
186.0851828186,-18.7279979607
186.0816472847,-18.7315334946
186.0781117507,-18.7350690285
186.0745762168,-18.7386045624
186.0707530011,-18.7418158287
186.0668214094,-18.7449049365
186.063389296,-18.7484870107
186.0603520455,-18.7524587999
186.0573147949,-18.756430589
186.0551098262,-18.7609128645
186.0529461709,-18.7654204798
186.0507825155,-18.769928095
186.0504305671,-18.7746634751
186.0514111478,-18.7795663785
186.0523917285,-18.7844692818
186.0519713731,-18.7892234728
186.0499833359,-18.7938112509
186.0479952987,-18.7983990291
186.0460072615,-18.8029868072
186.0439444136,-18.8075406694
186.0418039819,-18.8120593586
186.0396635501,-18.8165780478
186.0375896107,-18.8211275948
186.035520596,-18.8256794272
186.0334515813,-18.8302312595
186.0293785734,-18.8331178099
186.0252824138,-18.8359851216
186.0212174715,-18.8388788473
186.0190678036,-18.8433931499
186.0169181357,-18.8479074525
186.01528823,-18.8525026746
186.015963796,-18.8574568254
186.016639362,-18.8624109763
186.014940508,-18.8662375358
186.0106740989,-18.8688447859
186.0064076897,-18.8714520359
186.0015995931,-18.8727515368
185.9967391821,-18.8739247395
185.991878771,-18.8750979422
185.9874787573,-18.8748725942
185.984265696,-18.8710416365
185.9810526347,-18.8672106788
185.9778395734,-18.863379721
185.9746265121,-18.8595487633
185.9721048772,-18.8553615347
185.9708500664,-18.8505215502
185.9695952556,-18.8456815657
185.9683404448,-18.8408415812
185.9644588356,-18.8377622288
185.9604588356,-18.8347622288
185.9564588356,-18.8317622288
185.9515459633,-18.8315008456
185.9465459633,-18.8315008456
185.9415459633,-18.8315008456
185.9365459633,-18.8315008456
185.9315459633,-18.8315008456
185.9265459633,-18.8315008456
185.9215459633,-18.8315008456
185.9169012082,-18.8309522925
185.9148559287,-18.8263897459
185.9128106492,-18.8218271993
185.9107653696,-18.8172646526
185.9081671779,-18.8131860253
185.9039158522,-18.8105542522
185.8996645264,-18.8079224792
185.8953180236,-18.8054792846
185.8906756401,-18.8036223312
185.886888914,-18.8009646293
185.8853434836,-18.796209459
185.8837980533,-18.7914542886
185.8822526229,-18.7866991183
185.8807071926,-18.781943948
185.8793134283,-18.7771558145
185.8787456953,-18.7721881511
185.8781779624,-18.7672204877
185.8776102294,-18.7622528244
185.8770424965,-18.757285161
185.8741021912,-18.7533724327
185.870794083,-18.7496232434
185.8674859748,-18.7458740541
185.8641778666,-18.7421248649
185.8608697584,-18.7383756756
185.8579543896,-18.7343658787
185.8557853115,-18.7298608704
185.8536162334,-18.725355862
185.8514471553,-18.7208508537
185.3311852716,-18.807254067
185.3294544696,-18.8026134215
185.331078918,-18.797966562
185.3329842805,-18.793380024
185.3348297104,-18.7889061865
185.3380698295,-18.785354951
185.3425290301,-18.7832279098
185.3474140155,-18.7832373293
185.3516539902,-18.7816307528
185.3562932222,-18.7827583238
185.3601058229,-18.7859740834
185.364320434,-18.7886642607
185.3688740264,-18.7905547325
185.3734387638,-18.7925205783
185.3762853504,-18.7960870886
185.3804579119,-18.7988406072
185.3806813167,-18.8030400921
185.3781629654,-18.8073478425
185.3759569337,-18.8118244187
185.3742244084,-18.8165083872
185.3716482838,-18.8207047083
185.3682178771,-18.824328041
185.3638054057,-18.8259289223
185.3591568884,-18.8273925817
185.354292973,-18.827577278
185.3494387283,-18.8264775149
185.3450168567,-18.8241802145
185.3405980291,-18.8219963362
185.3391951031,-18.8177199709
185.3365457288,-18.8135953566
185.3345847703,-18.8104710582
184.8917994354,-19.7559646427
184.8930005434,-19.7511697965
184.8939021828,-19.7462517637
184.8950343421,-19.741400827
184.8969078481,-19.7367652459
184.8984097535,-19.7320050904
184.8993301438,-19.7270942098
184.9023301438,-19.7230942098
184.9032322373,-19.7182090859
184.905809341,-19.7139445614
184.9094518221,-19.7106366501
184.9135868157,-19.7078258638
184.9182959879,-19.7069514069
184.9231917372,-19.7075413156
184.9278917263,-19.7092084179
184.9327911335,-19.7101281279
184.9377681787,-19.7106066899
184.9425587193,-19.7119808639
184.9473768705,-19.7123404299
184.9520191031,-19.713777075
184.955298184,-19.717481713
184.9571824258,-19.7221126234
184.9592343944,-19.7266679737
184.9620619938,-19.7307884641
184.9648776682,-19.734892851
184.9679083598,-19.7387688694
184.9695937907,-19.7434760101
184.9710806507,-19.7482470913
184.9721568689,-19.7531277027
184.973800517,-19.7578038715
184.9729528835,-19.7624498197
184.9712467249,-19.7670872055
184.9696974268,-19.7718403245
184.9678902258,-19.7764506586
184.9655817172,-19.780857834
184.9617811072,-19.7837804813
184.9593092649,-19.7880478527
184.9548697851,-19.7898162646
184.9498933523,-19.7902510582
184.9449053693,-19.7905974748
184.9399630801,-19.7901887161
184.9349829023,-19.7899806764
184.9299829023,-19.7899806764
184.9250104787,-19.7896474779
184.9206101751,-19.7873740249
184.9192642795,-19.7825842242
184.9154855745,-19.7800882798
184.9112012651,-19.7775429527
184.9078397555,-19.774025109
184.9056019805,-19.7696069945
184.9028656109,-19.7658364695
184.8986879346,-19.7630911342
184.8945769736,-19.7602450844
184.968568553,-19.6799830623
184.9681837224,-19.6751125957
184.9679400347,-19.6701581621
184.9689371778,-19.6653020531
184.9707021145,-19.660634756
184.9731203106,-19.6562689905
184.9758167626,-19.6520585239
184.9789089585,-19.648134312
184.9831208171,-19.6457738507
184.9878742057,-19.6462433863
184.9924138302,-19.6483325812
184.9942289898,-19.6527125702
184.9955310449,-19.6574359016
184.9989721509,-19.6610239055
185.0012071952,-19.6653975398
185.0004517342,-19.6703110964
184.9985758394,-19.6748923591
184.9955156952,-19.6788463494
184.9917528122,-19.6820702198
184.987628528,-19.6847106211
184.9836736443,-19.6874041008
184.9797263034,-19.6901318233
184.9750481896,-19.6916160318
184.9719524569,-19.6892961457
184.968740818,-19.6857431191
185.5761923967,-19.8512888377
185.5811884015,-19.8514886779
185.5854036794,-19.8493117708
185.5886235169,-19.8455790054
185.5926521156,-19.8430614256
185.5972371112,-19.8414143543
185.6012093775,-19.8384821202
185.6058247621,-19.8365590432
185.6092765569,-19.8331399222
185.612989088,-19.829825807
185.6168718979,-19.8266756027
185.6206572181,-19.8234101916
